ObjectId,goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level_,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,sex_code,sex_desc,UnitMultiplier,Units_code,Units_desc,timeSeries_id,timeSeries_keys,n_years,min_year,max_year,years,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,value_2019,value_2020,latest_value,footnotes,nature
11,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),520,Nauru,4,543,Oceania (exc. Australia and New Zealand),Country,166.92313,-0.528742623,NRU,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,1,2013,2013,[2013],,,,,,,,,,,,,,36.12,,,,,,,,36.12,Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: Nonstandard minimum age,C: Country data
12,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),520,Nauru,4,543,Oceania (exc. Australia and New Zealand),Country,166.92313,-0.528742623,NRU,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,1,2013,2013,[2013],,,,,,,,,,,,,,36.12,,,,,,,,36.12,Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: Nonstandard minimum age,C: Country data
13,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),524,Nepal,5,127,Southern Asia (excluding India),Country,83.94678863,28.25866332,NPL,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,2,2008,2017,"[2008, 2017]",,,,,,,,,18.37,,,,,,,,,13.17,,,,13.17,[2008]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised // [2017]: Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,C: Country data
14,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),524,Nepal,5,127,Southern Asia (excluding India),Country,83.94678863,28.25866332,NPL,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,2,2008,2017,"[2008, 2017]",,,,,,,,,18.37,,,,,,,,,13.17,,,,13.17,[2008]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised // [2017]: Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,C: Country data
15,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),528,Netherlands,5,155,Western Europe,Country,5.331480568,51.86728884,NLD,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,20,2000,2019,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",25.33,26.18,25.35,25.67,25.4,24.97,26.73,27.42,27.27,28.16,28.42,29.27,28.78,24.58,25.46,26.03,25.41,26.59,25.66,27.07,,27.07,"[2000-2004,2006-2010,2012,2014-2019]: Repository: Eurostat special tabulation // [2005,2011,2013]: Repository: Eurostat special tabulation | Break in series: Methodology revised",C: Country data
16,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),554,New Zealand,4,53,Australia and New Zealand,Country,170.4755673,-43.98721568,NZL,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,9,2000,2008,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008]",38.18,38.57,38.62,36.44,36.3,36.5,39.88,39.97,39.95,,,,,,,,,,,,,39.95,Population coverage: Excluding armed forces and/or conscripts | Break in series: Methodology revised,C: Country data
17,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),558,Nicaragua,4,13,Central America,Country,-85.03060315,12.84210839,NIC,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,7,2001,2014,"[2001, 2003, 2004, 2005, 2006, 2012, 2014]",,30.47,,40.18,38.53,40.34,40.99,,,,,,33.54,,35.21,,,,,,,35.21,"[2001,2012,2014]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised // [2003-2006]: Age coverage - minimum age: 10 years old",C: Country data
18,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),562,Niger,4,11,Western Africa,Country,9.400167877,17.42143036,NER,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,1,2017,2017,[2017],,,,,,,,,,,,,,,,,,49.31,,,,49.31,Repository: ILO-STATISTICS - Micro data processing,C: Country data
19,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),566,Nigeria,4,11,Western Africa,Country,8.097363256,9.585789025,NGA,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,2,2011,2013,"[2011, 2013]",,,,,,,,,,,,33.06,,30.28,,,,,,,,30.28,[2011]: Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: Less than or equal to 9 years old | Break in series: Methodology revised // [2013]: Repository: ILO-STATISTICS - Micro data processing,C: Country data
20,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),807,North Macedonia,5,39,Southern Europe,Country,21.7007909,41.60048068,MKD,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,18,2002,2019,"[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",,,19.03,26.84,28.03,28.51,27.17,29.31,28.54,26.76,27.85,27.86,23.09,27.31,29.02,23.97,25.27,23.98,26.89,26.26,,26.26,"[2002-2003]: Data reference period: April // [2006-2010,2012-2019]: Repository: Eurostat special tabulation // [2011]: Repository: Eurostat special tabulation | Break in series: Methodology revised",C: Country data
21,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),578,Norway,5,154,Northern Europe,Country,11.47846389,61.34311134,NOR,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,20,2000,2019,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",24.99,25.24,27.53,28.43,29.19,30.41,33.15,31.59,31.54,34.05,34.38,31.44,32.2,32.89,35.53,36.03,37.87,38.31,35.6,34.46,,34.46,"[2000-2004,2007-2010,2012-2019]: Repository: Eurostat special tabulation // [2005-2006,2011]: Repository: Eurostat special tabulation | Break in series: Methodology revised",C: Country data
22,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),512,Oman,4,145,Western Asia,Country,57.87743482,21.98805614,OMN,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,3,2000,2016,"[2000, 2008, 2016]",9.32,,,,,,,,5.53,,,,,,,,11.06,,,,,11.06,"[2000]: Population coverage: Nationals, residents | Age coverage - minimum age: 12 years old // [2008]: Data reference period: June | Population coverage: Excluding nationals in the private sector // [2016]: Age coverage - maximum age: 65 years old",C: Country data
23,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),586,Pakistan,5,127,Southern Asia (excluding India),Country,68.80479684,29.36491634,PAK,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,16,2001,2018,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2013, 2014, 2015, 2016, 2018]",,2.94,2.36,2.37,2.1,2.1,3.37,3.43,2.96,2.91,3.33,3.3,,3.02,4.15,2.87,2.87,,4.93,,,4.93,"[2001-2005]: Data reference period: January | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old // [2006,2013]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised // [2007-2011,2014-2015]: Repository: ILO-STATISTICS - Micro data processing // [2016]: Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old | Age coverage - maximum age: 70 years old // [2018]: Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year",C: Country data
24,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),586,Pakistan,5,127,Southern Asia (excluding India),Country,68.80479684,29.36491634,PAK,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,16,2001,2018,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2013, 2014, 2015, 2016, 2018]",,2.94,2.36,2.37,2.1,2.1,3.37,3.43,2.96,2.91,3.33,3.3,,3.02,4.15,2.87,2.87,,4.93,,,4.93,"[2001-2005]: Data reference period: January | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old // [2006,2013]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised // [2007-2011,2014-2015]: Repository: ILO-STATISTICS - Micro data processing // [2016]: Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old | Age coverage - maximum age: 70 years old // [2018]: Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year",C: Country data
25,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),585,Palau,4,543,Oceania (exc. Australia and New Zealand),Country,134.5733878,7.502307591,PLW,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,2,2000,2014,"[2000, 2014]",26.78,,,,,,,,,,,,,,29.93,,,,,,,29.93,[2000]: Repository: ILO-STATISTICS - Micro data processing // [2014]: Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: Nonstandard minimum age,C: Country data
26,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),585,Palau,4,543,Oceania (exc. Australia and New Zealand),Country,134.5733878,7.502307591,PLW,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,2,2000,2014,"[2000, 2014]",26.78,,,,,,,,,,,,,,29.93,,,,,,,29.93,[2000]: Repository: ILO-STATISTICS - Micro data processing // [2014]: Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: Nonstandard minimum age,C: Country data
27,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),591,Panama,4,13,Central America,Country,-81.26616623,8.450965746,PAN,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,19,2001,2019,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",,40.39,37.61,39.53,39.64,42.66,45.05,43.55,48.08,46.01,47.9,46.57,45.63,41.79,42.56,43.97,42.49,42.65,48.49,47.38,,47.38,[2001-2008]: Data reference period: August // [2009-2010]: Data reference period: August | Population coverage: Excluding institutional population // [2011-2019]: Repository: ILO-STATISTICS - Micro data processing | Data reference period: August,C: Country data
28,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),598,Papua New Guinea,4,543,Oceania (exc. Australia and New Zealand),Country,145.8587761,-6.756057077,PNG,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,1,2010,2010,[2010],,,,,,,,,,,18.12,,,,,,,,,,,18.12,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,C: Country data
29,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),598,Papua New Guinea,4,543,Oceania (exc. Australia and New Zealand),Country,145.8587761,-6.756057077,PNG,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,1,2010,2010,[2010],,,,,,,,,,,18.12,,,,,,,,,,,18.12,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,C: Country data
30,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),600,Paraguay,4,5,South America,Country,-60.54854225,-21.70216237,PRY,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,19,2001,2019,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",,38.93,34.83,35.44,30.22,34.26,38.34,34.13,34,35.5,32.04,33.98,32.34,38.56,33.82,38.71,36.55,34.7,37.35,38.09,,38.09,[2001-2002]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised // [2003-2019]: Repository: ILO-STATISTICS - Micro data processing,C: Country data
31,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),604,Peru,4,5,South America,Country,-71.82093277,-13.58939705,PER,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,20,2000,2019,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",28.07,27.04,23.32,23.28,25.48,26.18,27.97,27.32,19.18,35.97,29.01,35.61,29.06,30.75,24.84,33.27,32.76,35.59,28.78,30.33,,30.33,[2000-2001]: Geographical coverage: Urban areas only | Age coverage - minimum age: 14 years old // [2002]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised // [2003-2019]: Repository: ILO-STATISTICS - Micro data processing,C: Country data
32,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),608,Philippines,4,35,South-Eastern Asia,Country,120.8601418,14.16591706,PHL,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,14,2002,2019,"[2002, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2017, 2018, 2019]",,,57.79,,,,57.89,59.25,56.07,54.59,53.71,52.99,48.11,47.54,47.41,47.06,,51.5,52.65,50.51,,50.51,"[2002]: Population coverage: Excluding armed forces and/or conscripts // [2006-2015,2017-2019]: Repository: ILO-STATISTICS - Micro data processing",C: Country data
