ObjectId,goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level_,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,age_code,age_desc,sex_code,sex_desc,UnitMultiplier,Units_code,Units_desc,timeSeries_id,timeSeries_keys,n_years,min_year,max_year,years,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,value_2019,value_2020,latest_value,footnotes,nature
431,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",31,Azerbaijan,4,145,Western Asia,Country,50.01064725,40.39229544,AZE,1,1,Y_GE25,25 years old and over,F,Female,,PT,Percentage,SL_TLF_UEM__Y_GE25__F,age__sex,16,2000,2019,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2014, 2015, 2019]",9.6,8.1,6.9,6.5,5.1,5.2,4.5,4.3,4.4,5.1,5.6,5.2,4.7,,4.5,4.6,,,,4.6,,4.6,"[2000-2012,2014-2015]: Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts // [2019]: Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts",C: Country data
432,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",31,Azerbaijan,4,145,Western Asia,Country,50.01064725,40.39229544,AZE,1,1,Y_GE25,25 years old and over,M,Male,,PT,Percentage,SL_TLF_UEM__Y_GE25__M,age__sex,16,2000,2019,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2014, 2015, 2019]",8.6,8,7.5,7,6.1,5.5,5.1,5.5,4.4,3.7,3,3,3.2,,2.9,3,,,,3.1,,3.1,"[2000-2012,2014-2015]: Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts // [2019]: Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts",C: Country data
433,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",44,Bahamas,4,29,Caribbean,Country,-78.05111663,24.69546597,BHS,1,1,Y_GE15,15 years old and over,_T,Both sexes,,PT,Percentage,SL_TLF_UEM__Y_GE15___T,age__sex,17,2001,2018,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",,6.9,9.1,10.8,10.2,10.2,7.5,7.9,8.2,14.3,,14.5,14,16.2,13.8,12,12.7,9.8,10,,,10,"[2001-2005,2007-2008]: Data reference period: April // [2006,2009,2011,2013-2018]: Data reference period: May // [2012]: Data reference period: November | Break in series: Methodology revised",C: Country data
434,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",148,Chad,4,17,Middle Africa,Country,18.66618401,15.36279341,TCD,1,1,Y_GE15,15 years old and over,M,Male,,PT,Percentage,SL_TLF_UEM__Y_GE15__M,age__sex,1,2018,2018,[2018],,,,,,,,,,,,,,,,,,,1.4,,,1.4,Repository: ILO-STATISTICS - Micro data processing,C: Country data
435,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",68,Bolivia (Plurinational State of),4,5,South America,Country,-64.66224284,-16.71273412,BOL,1,1,Y15T24,15 to 24 years old,F,Female,,PT,Percentage,SL_TLF_UEM__Y15T24__F,age__sex,12,2000,2019,"[2000, 2008, 2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",10.4,,,,,,,,7.4,6.6,,6.5,4.7,5.7,7,8.7,7.8,7.7,7,9.7,,9.7,"[2000]: Data reference period: November | Geographical coverage: Urban areas only | Age coverage - minimum age: 10 years old // [2008-2009,2011-2015,2017-2019]: Repository: ILO-STATISTICS - Micro data processing // [2016]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised",C: Country data
436,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",418,Lao People's Democratic Republic,4,35,South-Eastern Asia,Country,101.9901968,20.27482773,LAO,1,1,Y_GE25,25 years old and over,_T,Both sexes,,PT,Percentage,SL_TLF_UEM__Y_GE25___T,age__sex,2,2010,2017,"[2010, 2017]",,,,,,,,,,,0.4,,,,,,,7.4,,,,7.4,[2010]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised // [2017]: Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,C: Country data
437,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",368,Iraq,4,145,Western Asia,Country,43.76606267,33.05013795,IRQ,1,1,Y_GE25,25 years old and over,F,Female,,PT,Percentage,SL_TLF_UEM__Y_GE25__F,age__sex,5,2007,2017,"[2007, 2012, 2014, 2016, 2017]",,,,,,,,4.7,,,,,9.2,,17.5,,18.6,25.9,,,,25.9,[2007]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised // [2012]: Repository: ILO-STATISTICS - Micro data processing,C: Country data
438,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",148,Chad,4,17,Middle Africa,Country,18.66618401,15.36279341,TCD,1,1,Y15T24,15 to 24 years old,_T,Both sexes,,PT,Percentage,SL_TLF_UEM__Y15T24___T,age__sex,1,2018,2018,[2018],,,,,,,,,,,,,,,,,,,1.5,,,1.5,Repository: ILO-STATISTICS - Micro data processing,C: Country data
439,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",68,Bolivia (Plurinational State of),4,5,South America,Country,-64.66224284,-16.71273412,BOL,1,1,Y15T24,15 to 24 years old,M,Male,,PT,Percentage,SL_TLF_UEM__Y15T24__M,age__sex,12,2000,2019,"[2000, 2008, 2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",7,,,,,,,,4.3,4.3,,4.3,2.5,5.5,3.1,5.9,6.1,6,6.8,8.2,,8.2,"[2000]: Data reference period: November | Geographical coverage: Urban areas only | Age coverage - minimum age: 10 years old // [2008-2009,2011-2015,2017-2019]: Repository: ILO-STATISTICS - Micro data processing // [2016]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised",C: Country data
440,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",68,Bolivia (Plurinational State of),4,5,South America,Country,-64.66224284,-16.71273412,BOL,1,1,Y_GE25,25 years old and over,_T,Both sexes,,PT,Percentage,SL_TLF_UEM__Y_GE25___T,age__sex,12,2000,2019,"[2000, 2008, 2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",3.2,,,,,,,,1.8,2.4,,1.5,1.8,1.8,1.4,2.3,2.8,3,2.8,2.8,,2.8,"[2000]: Data reference period: November | Geographical coverage: Urban areas only | Age coverage - minimum age: 10 years old // [2008-2009,2011-2015,2017-2019]: Repository: ILO-STATISTICS - Micro data processing // [2016]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised",C: Country data
441,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",68,Bolivia (Plurinational State of),4,5,South America,Country,-64.66224284,-16.71273412,BOL,1,1,Y_GE25,25 years old and over,F,Female,,PT,Percentage,SL_TLF_UEM__Y_GE25__F,age__sex,12,2000,2019,"[2000, 2008, 2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",4.1,,,,,,,,2.3,2.8,,1.7,2.4,2.4,1.9,2.8,3.2,3.3,2.9,3.3,,3.3,"[2000]: Data reference period: November | Geographical coverage: Urban areas only | Age coverage - minimum age: 10 years old // [2008-2009,2011-2015,2017-2019]: Repository: ILO-STATISTICS - Micro data processing // [2016]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised",C: Country data
442,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",68,Bolivia (Plurinational State of),4,5,South America,Country,-64.66224284,-16.71273412,BOL,1,1,Y_GE25,25 years old and over,M,Male,,PT,Percentage,SL_TLF_UEM__Y_GE25__M,age__sex,12,2000,2019,"[2000, 2008, 2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",2.5,,,,,,,,1.4,2,,1.3,1.3,1.2,0.9,1.9,2.4,2.8,2.7,2.3,,2.3,"[2000]: Data reference period: November | Geographical coverage: Urban areas only | Age coverage - minimum age: 10 years old // [2008-2009,2011-2015,2017-2019]: Repository: ILO-STATISTICS - Micro data processing // [2016]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised",C: Country data
443,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",70,Bosnia and Herzegovina,5,39,Southern Europe,Country,17.78584332,44.16845548,BIH,1,1,Y_GE15,15 years old and over,_T,Both sexes,,PT,Percentage,SL_TLF_UEM__Y_GE15___T,age__sex,14,2006,2019,"[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",,,,,,,31.1,29,23.4,24.1,27.3,27.6,28,27.5,27.5,27.7,25.4,20.5,18.4,15.7,,15.7,[2006]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised // [2007-2019]: Repository: ILO-STATISTICS - Micro data processing,C: Country data
444,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",70,Bosnia and Herzegovina,5,39,Southern Europe,Country,17.78584332,44.16845548,BIH,1,1,Y_GE15,15 years old and over,F,Female,,PT,Percentage,SL_TLF_UEM__Y_GE15__F,age__sex,14,2006,2019,"[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",,,,,,,34.9,32.9,26.8,25.6,29.9,29.9,30.7,29,31.2,30.7,30.1,23.1,20.3,18.8,,18.8,[2006]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised // [2007-2019]: Repository: ILO-STATISTICS - Micro data processing,C: Country data
445,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",70,Bosnia and Herzegovina,5,39,Southern Europe,Country,17.78584332,44.16845548,BIH,1,1,Y_GE15,15 years old and over,M,Male,,PT,Percentage,SL_TLF_UEM__Y_GE15__M,age__sex,14,2006,2019,"[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",,,,,,,28.9,26.7,21.4,23.1,25.7,26.1,26.4,26.6,25.2,25.8,22.5,18.9,17.2,13.7,,13.7,[2006]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised // [2007-2019]: Repository: ILO-STATISTICS - Micro data processing,C: Country data
446,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",70,Bosnia and Herzegovina,5,39,Southern Europe,Country,17.78584332,44.16845548,BIH,1,1,Y15T24,15 to 24 years old,_T,Both sexes,,PT,Percentage,SL_TLF_UEM__Y15T24___T,age__sex,14,2006,2019,"[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",,,,,,,62.3,58.4,47.5,48.7,57.7,57.9,63.1,59.1,62.7,62.3,54.3,45.8,38.8,33.8,,33.8,[2006]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised // [2007-2019]: Repository: ILO-STATISTICS - Micro data processing,C: Country data
447,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",70,Bosnia and Herzegovina,5,39,Southern Europe,Country,17.78584332,44.16845548,BIH,1,1,Y15T24,15 to 24 years old,F,Female,,PT,Percentage,SL_TLF_UEM__Y15T24__F,age__sex,14,2006,2019,"[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",,,,,,,65.7,63.1,52.3,52.7,61.3,60.5,64,59.2,65.4,67.3,58.9,51.4,45.5,37.9,,37.9,[2006]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised // [2007-2019]: Repository: ILO-STATISTICS - Micro data processing,C: Country data
448,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",70,Bosnia and Herzegovina,5,39,Southern Europe,Country,17.78584332,44.16845548,BIH,1,1,Y15T24,15 to 24 years old,M,Male,,PT,Percentage,SL_TLF_UEM__Y15T24__M,age__sex,14,2006,2019,"[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",,,,,,,60.2,55.6,44.8,46.4,55.5,56.4,62.6,59.1,61,59.5,52.1,43.1,35.5,31.3,,31.3,[2006]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised // [2007-2019]: Repository: ILO-STATISTICS - Micro data processing,C: Country data
449,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",70,Bosnia and Herzegovina,5,39,Southern Europe,Country,17.78584332,44.16845548,BIH,1,1,Y_GE25,25 years old and over,_T,Both sexes,,PT,Percentage,SL_TLF_UEM__Y_GE25___T,age__sex,14,2006,2019,"[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",,,,,,,26,24.4,19.9,20.6,23.2,23.8,23.8,23.8,23.5,23.3,22,17.5,15.9,13.5,,13.5,[2006]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised // [2007-2019]: Repository: ILO-STATISTICS - Micro data processing,C: Country data
450,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",70,Bosnia and Herzegovina,5,39,Southern Europe,Country,17.78584332,44.16845548,BIH,1,1,Y_GE25,25 years old and over,F,Female,,PT,Percentage,SL_TLF_UEM__Y_GE25__F,age__sex,14,2006,2019,"[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",,,,,,,29.6,28.1,23.2,22,25.6,26.4,27,26,27.4,26.5,27.2,20.3,17.7,16.6,,16.6,[2006]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised // [2007-2019]: Repository: ILO-STATISTICS - Micro data processing,C: Country data
451,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",70,Bosnia and Herzegovina,5,39,Southern Europe,Country,17.78584332,44.16845548,BIH,1,1,Y_GE25,25 years old and over,M,Male,,PT,Percentage,SL_TLF_UEM__Y_GE25__M,age__sex,14,2006,2019,"[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",,,,,,,24,22.3,17.9,19.7,21.6,22.1,21.8,22.4,21,21.3,18.8,15.6,14.8,11.5,,11.5,[2006]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised // [2007-2019]: Repository: ILO-STATISTICS - Micro data processing,C: Country data
452,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",72,Botswana,4,18,Southern Africa,Country,23.81380223,-22.18810073,BWA,1,1,Y_GE15,15 years old and over,_T,Both sexes,,PT,Percentage,SL_TLF_UEM__Y_GE15___T,age__sex,6,2000,2010,"[2000, 2001, 2003, 2006, 2009, 2010]",15.9,18.5,,23.8,,,17.8,,,16.2,17.9,,,,,,,,,,,17.9,"[2000]: Population coverage: Including armed forces and/or conscripts // [2001]: Data reference period: August | Age coverage - minimum age: 12 years old // [2003]: Nonstandard age group: Including ages 12-14 // [2006,2009]: Repository: ILO-STATISTICS - Micro data processing",C: Country data
453,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",72,Botswana,4,18,Southern Africa,Country,23.81380223,-22.18810073,BWA,1,1,Y_GE15,15 years old and over,F,Female,,PT,Percentage,SL_TLF_UEM__Y_GE15__F,age__sex,6,2000,2010,"[2000, 2001, 2003, 2006, 2009, 2010]",17.3,22.2,,26.3,,,20,,,19.6,21.4,,,,,,,,,,,21.4,"[2000]: Population coverage: Including armed forces and/or conscripts // [2001]: Data reference period: August | Age coverage - minimum age: 12 years old // [2003]: Nonstandard age group: Including ages 12-14 // [2006,2009]: Repository: ILO-STATISTICS - Micro data processing",C: Country data
454,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",72,Botswana,4,18,Southern Africa,Country,23.81380223,-22.18810073,BWA,1,1,Y_GE15,15 years old and over,M,Male,,PT,Percentage,SL_TLF_UEM__Y_GE15__M,age__sex,6,2000,2010,"[2000, 2001, 2003, 2006, 2009, 2010]",14.8,15.7,,21.4,,,15.6,,,13,14.6,,,,,,,,,,,14.6,"[2000]: Population coverage: Including armed forces and/or conscripts // [2001]: Data reference period: August | Age coverage - minimum age: 12 years old // [2003]: Nonstandard age group: Including ages 12-14 // [2006,2009]: Repository: ILO-STATISTICS - Micro data processing",C: Country data
455,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",72,Botswana,4,18,Southern Africa,Country,23.81380223,-22.18810073,BWA,1,1,Y15T24,15 to 24 years old,_T,Both sexes,,PT,Percentage,SL_TLF_UEM__Y15T24___T,age__sex,4,2001,2010,"[2001, 2006, 2009, 2010]",,39.7,,,,,32.6,,,33.4,36,,,,,,,,,,,36,"[2001]: Data reference period: August | Age coverage - minimum age: 12 years old // [2006,2009]: Repository: ILO-STATISTICS - Micro data processing",C: Country data
456,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",72,Botswana,4,18,Southern Africa,Country,23.81380223,-22.18810073,BWA,1,1,Y15T24,15 to 24 years old,F,Female,,PT,Percentage,SL_TLF_UEM__Y15T24__F,age__sex,4,2001,2010,"[2001, 2006, 2009, 2010]",,46.1,,,,,38.2,,,41.2,43.5,,,,,,,,,,,43.5,"[2001]: Data reference period: August | Age coverage - minimum age: 12 years old // [2006,2009]: Repository: ILO-STATISTICS - Micro data processing",C: Country data
457,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",72,Botswana,4,18,Southern Africa,Country,23.81380223,-22.18810073,BWA,1,1,Y15T24,15 to 24 years old,M,Male,,PT,Percentage,SL_TLF_UEM__Y15T24__M,age__sex,4,2001,2010,"[2001, 2006, 2009, 2010]",,33.9,,,,,27.7,,,26.7,29.6,,,,,,,,,,,29.6,"[2001]: Data reference period: August | Age coverage - minimum age: 12 years old // [2006,2009]: Repository: ILO-STATISTICS - Micro data processing",C: Country data
458,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",72,Botswana,4,18,Southern Africa,Country,23.81380223,-22.18810073,BWA,1,1,Y_GE25,25 years old and over,_T,Both sexes,,PT,Percentage,SL_TLF_UEM__Y_GE25___T,age__sex,4,2001,2010,"[2001, 2006, 2009, 2010]",,11.8,,,,,13.4,,,12.3,13.7,,,,,,,,,,,13.7,"[2001]: Data reference period: August | Age coverage - minimum age: 12 years old // [2006,2009]: Repository: ILO-STATISTICS - Micro data processing",C: Country data
