ObjectId,goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level_,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,sex_code,sex_desc,disability_status_code,disability_status_desc,UnitMultiplier,Units_code,Units_desc,timeSeries_id,timeSeries_keys,n_years,min_year,max_year,years,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,value_2019,latest_value,footnotes,nature
11,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",642,Romania,5,151,Eastern Europe,Country,24.98481009,45.83893563,ROU,1,1,M,Male,PD,Persons with disability,,PT,Percentage,SL_TLF_UEMDIS__M__PD,sex__disability_status,1,2012,2012,[2012],,,,,,,,11,,,,,,,,11,Repository: ILO calculations based on Eurostat data | Population coverage: Excluding institutional population | Unemployment definition: Self-declared labour status,C: Country data
12,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",642,Romania,5,151,Eastern Europe,Country,24.98481009,45.83893563,ROU,1,1,M,Male,PWD,Persons without disability,,PT,Percentage,SL_TLF_UEMDIS__M__PWD,sex__disability_status,1,2012,2012,[2012],,,,,,,,9,,,,,,,,9,Repository: ILO calculations based on Eurostat data | Population coverage: Excluding institutional population | Unemployment definition: Self-declared labour status,C: Country data
13,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",643,Russian Federation,5,151,Eastern Europe,Country,99.01404926,61.61899849,RUS,1,1,_T,Both sexes,_T,No breakdown by disability,,PT,Percentage,SL_TLF_UEMDIS___T___T,sex__disability_status,4,2015,2019,"[2015, 2016, 2018, 2019]",,,,,,,,,,,5.6,5.5,,4.8,4.6,4.6,[2015-2016]: Age coverage - maximum age: 72 years old | Type of difficulties: Nonstandard type of difficulties | Level of difficulties: Nonstandard level of difficulties | Minimum duration of disability: Nonstandard minimum duration of disability // [2018]: Employment definition: Excluding own-use production workers | Age coverage - maximum age: 72 years old | Type of difficulties: Nonstandard type of difficulties | Level of difficulties: Nonstandard level of difficulties | Minimum duration of disability: Nonstandard minimum duration of disability // [2019]: Employment definition: Excluding own-use production workers | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: No minimum duration,C: Country data
14,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",643,Russian Federation,5,151,Eastern Europe,Country,99.01404926,61.61899849,RUS,1,1,_T,Both sexes,PD,Persons with disability,,PT,Percentage,SL_TLF_UEMDIS___T__PD,sex__disability_status,4,2015,2019,"[2015, 2016, 2018, 2019]",,,,,,,,,,,19,18.3,,17.8,15.9,15.9,[2015-2016]: Age coverage - maximum age: 72 years old | Type of difficulties: Nonstandard type of difficulties | Level of difficulties: Nonstandard level of difficulties | Minimum duration of disability: Nonstandard minimum duration of disability // [2018]: Employment definition: Excluding own-use production workers | Age coverage - maximum age: 72 years old | Type of difficulties: Nonstandard type of difficulties | Level of difficulties: Nonstandard level of difficulties | Minimum duration of disability: Nonstandard minimum duration of disability // [2019]: Employment definition: Excluding own-use production workers | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: No minimum duration,C: Country data
15,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",643,Russian Federation,5,151,Eastern Europe,Country,99.01404926,61.61899849,RUS,1,1,_T,Both sexes,PWD,Persons without disability,,PT,Percentage,SL_TLF_UEMDIS___T__PWD,sex__disability_status,4,2015,2019,"[2015, 2016, 2018, 2019]",,,,,,,,,,,5.5,5.4,,4.7,4.5,4.5,[2015-2016]: Age coverage - maximum age: 72 years old | Type of difficulties: Nonstandard type of difficulties | Level of difficulties: Nonstandard level of difficulties | Minimum duration of disability: Nonstandard minimum duration of disability // [2018]: Employment definition: Excluding own-use production workers | Age coverage - maximum age: 72 years old | Type of difficulties: Nonstandard type of difficulties | Level of difficulties: Nonstandard level of difficulties | Minimum duration of disability: Nonstandard minimum duration of disability // [2019]: Employment definition: Excluding own-use production workers | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: No minimum duration,C: Country data
16,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",643,Russian Federation,5,151,Eastern Europe,Country,99.01404926,61.61899849,RUS,1,1,F,Female,_T,No breakdown by disability,,PT,Percentage,SL_TLF_UEMDIS__F___T,sex__disability_status,4,2015,2019,"[2015, 2016, 2018, 2019]",,,,,,,,,,,5.3,5.3,,4.7,4.4,4.4,[2015-2016]: Age coverage - maximum age: 72 years old | Type of difficulties: Nonstandard type of difficulties | Level of difficulties: Nonstandard level of difficulties | Minimum duration of disability: Nonstandard minimum duration of disability // [2018]: Employment definition: Excluding own-use production workers | Age coverage - maximum age: 72 years old | Type of difficulties: Nonstandard type of difficulties | Level of difficulties: Nonstandard level of difficulties | Minimum duration of disability: Nonstandard minimum duration of disability // [2019]: Employment definition: Excluding own-use production workers | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: No minimum duration,C: Country data
17,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",643,Russian Federation,5,151,Eastern Europe,Country,99.01404926,61.61899849,RUS,1,1,F,Female,PD,Persons with disability,,PT,Percentage,SL_TLF_UEMDIS__F__PD,sex__disability_status,4,2015,2019,"[2015, 2016, 2018, 2019]",,,,,,,,,,,16.1,15.9,,15.3,12.8,12.8,[2015-2016]: Age coverage - maximum age: 72 years old | Type of difficulties: Nonstandard type of difficulties | Level of difficulties: Nonstandard level of difficulties | Minimum duration of disability: Nonstandard minimum duration of disability // [2018]: Employment definition: Excluding own-use production workers | Age coverage - maximum age: 72 years old | Type of difficulties: Nonstandard type of difficulties | Level of difficulties: Nonstandard level of difficulties | Minimum duration of disability: Nonstandard minimum duration of disability // [2019]: Employment definition: Excluding own-use production workers | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: No minimum duration,C: Country data
18,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",643,Russian Federation,5,151,Eastern Europe,Country,99.01404926,61.61899849,RUS,1,1,F,Female,PWD,Persons without disability,,PT,Percentage,SL_TLF_UEMDIS__F__PWD,sex__disability_status,4,2015,2019,"[2015, 2016, 2018, 2019]",,,,,,,,,,,5.2,5.2,,4.6,4.4,4.4,[2015-2016]: Age coverage - maximum age: 72 years old | Type of difficulties: Nonstandard type of difficulties | Level of difficulties: Nonstandard level of difficulties | Minimum duration of disability: Nonstandard minimum duration of disability // [2018]: Employment definition: Excluding own-use production workers | Age coverage - maximum age: 72 years old | Type of difficulties: Nonstandard type of difficulties | Level of difficulties: Nonstandard level of difficulties | Minimum duration of disability: Nonstandard minimum duration of disability // [2019]: Employment definition: Excluding own-use production workers | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: No minimum duration,C: Country data
19,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",643,Russian Federation,5,151,Eastern Europe,Country,99.01404926,61.61899849,RUS,1,1,M,Male,_T,No breakdown by disability,,PT,Percentage,SL_TLF_UEMDIS__M___T,sex__disability_status,4,2015,2019,"[2015, 2016, 2018, 2019]",,,,,,,,,,,5.8,5.7,,4.9,4.8,4.8,[2015-2016]: Age coverage - maximum age: 72 years old | Type of difficulties: Nonstandard type of difficulties | Level of difficulties: Nonstandard level of difficulties | Minimum duration of disability: Nonstandard minimum duration of disability // [2018]: Employment definition: Excluding own-use production workers | Age coverage - maximum age: 72 years old | Type of difficulties: Nonstandard type of difficulties | Level of difficulties: Nonstandard level of difficulties | Minimum duration of disability: Nonstandard minimum duration of disability // [2019]: Employment definition: Excluding own-use production workers | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: No minimum duration,C: Country data
20,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",643,Russian Federation,5,151,Eastern Europe,Country,99.01404926,61.61899849,RUS,1,1,M,Male,PD,Persons with disability,,PT,Percentage,SL_TLF_UEMDIS__M__PD,sex__disability_status,4,2015,2019,"[2015, 2016, 2018, 2019]",,,,,,,,,,,21.1,20,,19.4,18.1,18.1,[2015-2016]: Age coverage - maximum age: 72 years old | Type of difficulties: Nonstandard type of difficulties | Level of difficulties: Nonstandard level of difficulties | Minimum duration of disability: Nonstandard minimum duration of disability // [2018]: Employment definition: Excluding own-use production workers | Age coverage - maximum age: 72 years old | Type of difficulties: Nonstandard type of difficulties | Level of difficulties: Nonstandard level of difficulties | Minimum duration of disability: Nonstandard minimum duration of disability // [2019]: Employment definition: Excluding own-use production workers | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: No minimum duration,C: Country data
21,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",643,Russian Federation,5,151,Eastern Europe,Country,99.01404926,61.61899849,RUS,1,1,M,Male,PWD,Persons without disability,,PT,Percentage,SL_TLF_UEMDIS__M__PWD,sex__disability_status,4,2015,2019,"[2015, 2016, 2018, 2019]",,,,,,,,,,,5.7,5.6,,4.8,4.6,4.6,[2015-2016]: Age coverage - maximum age: 72 years old | Type of difficulties: Nonstandard type of difficulties | Level of difficulties: Nonstandard level of difficulties | Minimum duration of disability: Nonstandard minimum duration of disability // [2018]: Employment definition: Excluding own-use production workers | Age coverage - maximum age: 72 years old | Type of difficulties: Nonstandard type of difficulties | Level of difficulties: Nonstandard level of difficulties | Minimum duration of disability: Nonstandard minimum duration of disability // [2019]: Employment definition: Excluding own-use production workers | Type of difficulties: Impairments | Level of difficulties: Cannot do at all at least one activity | Minimum duration of disability: No minimum duration,C: Country data
22,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",646,Rwanda,4,14,Eastern Africa,Country,29.92310194,-1.999842114,RWA,1,1,_T,Both sexes,_T,No breakdown by disability,,PT,Percentage,SL_TLF_UEMDIS___T___T,sex__disability_status,3,2017,2019,"[2017, 2018, 2019]",,,,,,,,,,,,,17.4,15.1,15.3,15.3,[2017]: Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised // [2018-2019]: Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers,C: Country data
23,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",646,Rwanda,4,14,Eastern Africa,Country,29.92310194,-1.999842114,RWA,1,1,_T,Both sexes,PD,Persons with disability,,PT,Percentage,SL_TLF_UEMDIS___T__PD,sex__disability_status,3,2017,2019,"[2017, 2018, 2019]",,,,,,,,,,,,,16.6,14.3,15.9,15.9,[2017]: Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised // [2018-2019]: Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers,C: Country data
24,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",646,Rwanda,4,14,Eastern Africa,Country,29.92310194,-1.999842114,RWA,1,1,_T,Both sexes,PWD,Persons without disability,,PT,Percentage,SL_TLF_UEMDIS___T__PWD,sex__disability_status,3,2017,2019,"[2017, 2018, 2019]",,,,,,,,,,,,,17.4,15.1,15.3,15.3,[2017]: Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised // [2018-2019]: Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers,C: Country data
25,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",646,Rwanda,4,14,Eastern Africa,Country,29.92310194,-1.999842114,RWA,1,1,F,Female,_T,No breakdown by disability,,PT,Percentage,SL_TLF_UEMDIS__F___T,sex__disability_status,3,2017,2019,"[2017, 2018, 2019]",,,,,,,,,,,,,19.4,17.1,17,17,[2017]: Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised // [2018-2019]: Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers,C: Country data
26,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",646,Rwanda,4,14,Eastern Africa,Country,29.92310194,-1.999842114,RWA,1,1,F,Female,PD,Persons with disability,,PT,Percentage,SL_TLF_UEMDIS__F__PD,sex__disability_status,3,2017,2019,"[2017, 2018, 2019]",,,,,,,,,,,,,16,12.8,16.3,16.3,[2017]: Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised // [2018-2019]: Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers,C: Country data
27,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",646,Rwanda,4,14,Eastern Africa,Country,29.92310194,-1.999842114,RWA,1,1,F,Female,PWD,Persons without disability,,PT,Percentage,SL_TLF_UEMDIS__F__PWD,sex__disability_status,3,2017,2019,"[2017, 2018, 2019]",,,,,,,,,,,,,19.4,17.2,17,17,[2017]: Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised // [2018-2019]: Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers,C: Country data
28,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",646,Rwanda,4,14,Eastern Africa,Country,29.92310194,-1.999842114,RWA,1,1,M,Male,_T,No breakdown by disability,,PT,Percentage,SL_TLF_UEMDIS__M___T,sex__disability_status,3,2017,2019,"[2017, 2018, 2019]",,,,,,,,,,,,,15.7,13.5,13.9,13.9,[2017]: Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised // [2018-2019]: Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers,C: Country data
